Sample ,Date,Exp,Culture ID,E growth (UML) ,E exp (UML) ,t stress (h),Inhibitor,Dark pre-exp (h),Vol (ml),Chl a µg/L,Total Chl a (µg) ,Carbon µg/mL,Total Carbon (µg),Nitrogen µg/mL,Total nitrogen (µg),Sp,PsbA,Rubisco,Fcp6,FtsH,Total proteins ,,C and N per Chl a estimates for other Nf samples,,,
P143,2026-09-18,Nf_Growth_vs.IceCamp,Nf_15A,15,NA,NA,No,0.333333333,25,207.34,5.18,7.87,196.72,1.3,32.61,Nitszchia frigida,X,X,X,X,X,,37.95018786,36.14780718,6.291689921,5.740132577
P144,2026-09-18,Nf_Growth_vs.IceCamp,Nf_15B,15,NA,NA,No,0.333333333,25,199.18,4.98,8.17,204.19,1.23,30.82,Nitszchia frigida,X,X,X,X,X,,41.00599768,,6.188547068,
P145,2026-09-18,Nf_Growth_vs.IceCamp,Nf_15C,15,NA,NA,No,0.333333333,25,220.69,5.52,6.51,162.69,1.05,26.15,Nitszchia frigida,X,X,X,X,X,,29.48723598,,4.740160741,
P146,2026-09-18,Nf_Growth_vs.IceCamp,Nf_6A,6,NA,NA,No,0.333333333,25,239.67,5.99,4.74,118.52,1.08,27,Nitszchia frigida,X,X,X,X,X,,,,,
P147,2026-09-18,Nf_Growth_vs.IceCamp,Nf_6B,6,NA,NA,No,0.333333333,25,225.91,5.65,4.53,113.35,0.92,22.88,Nitszchia frigida,X,X,X,X,X,,,,,
P148,2026-09-18,Nf_Growth_vs.IceCamp,Nf_6C,6,NA,NA,No,0.333333333,25,251.87,6.3,4.62,115.57,0.82,20.39,Nitszchia frigida,X,X,X,X,X,,,,,
P149,2027-09-18,Nf_Growth_vs.IceCamp,Nf_50A,50,NA,NA,No,0.333333333,25,83.14,2.08,5.77,144.2,0.85,21.31,Nitszchia frigida,X,X,X,X,X,,69.37932811,70.75628613,10.25285579,9.462123791
P150,2027-09-18,Nf_Growth_vs.IceCamp,Nf_50B,50,NA,NA,No,0.333333333,25,81.23,2.03,5.74,143.39,0.72,18.11,Nitszchia frigida,X,X,X,X,X,,70.61004853,,8.916664803,
P151,2027-09-18,Nf_Growth_vs.IceCamp,Nf_50C,50,NA,NA,No,0.333333333,25,96.98,2.42,7.01,175.23,0.89,22.35,Nitszchia frigida,X,X,X,X,X,,72.27948174,,9.216850785,
P152,2027-09-18,Nf_Growth_vs.IceCamp,Nf_200A,200,NA,NA,No,0.333333333,25,34.66,0.87,5.05,126.23,0.66,16.61,Nitszchia frigida,X,X,X,X,X,,,,,
P153,2027-09-18,Nf_Growth_vs.IceCamp,Nf_200B,200,NA,NA,No,0.333333333,25,63.66,1.59,6.29,157.34,0.52,13.12,Nitszchia frigida,X,X,X,X,X,,,,,
P154,2027-09-18,Nf_Growth_vs.IceCamp,Nf_200C,200,NA,NA,No,0.333333333,25,72.67,1.82,5.67,141.79,0.84,21.04,Nitszchia frigida,X,X,X,X,X,,,,,
P155,2004-10-18,Nf_Growth_vs.IceCamp,Nf_100A,100,NA,NA,No,0.333333333,25,113.46,2.84,13.87,346.63,1.63,40.63,Nitszchia frigida,X,X,X,X,X,,,,,
P156,2004-10-18,Nf_Growth_vs.IceCamp,Nf_100B,100,NA,NA,No,0.333333333,25,97.05,2.43,13.65,341.18,1.22,30.44,Nitszchia frigida,X,X,X,X,X,,,,,
P157,2004-10-18,Nf_Growth_vs.IceCamp,Nf_100C,100,NA,NA,No,0.333333333,25,112,2.8,11.64,290.98,1.29,32.21,Nitszchia frigida,X,X,X,X,X,,,,,
P158,2012-10-18,Nf_Growth_vs.IceCamp,Nf_2A,2,NA,NA,No,0.333333333,25,70.66,1.77,1.87,46.85,0.37,9.18,Nitszchia frigida,X,X,X,X,X,,,,,
P159,2012-10-18,Nf_Growth_vs.IceCamp,Nf_2B,2,NA,NA,No,0.333333333,25,96.05,2.4,1.89,47.26,0.38,9.62,Nitszchia frigida,X,X,X,X,X,,,,,
P160,2012-10-18,Nf_Growth_vs.IceCamp,Nf_2C,2,NA,NA,No,0.333333333,25,78.49,1.96,1.76,44.11,0.32,8.02,Nitszchia frigida,X,X,X,X,X,,,,,
test,,,,,,,,,,,,,,,,,,,,,,,,,,
